,date,trainer,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
72,2015-06-14,A Lee,14,2,2,3,0.14285714285714285,0.14285714285714285,0.21428571428571427
73,2015-06-14,A S Cruz,20,1,3,4,0.05,0.15,0.2
74,2015-06-14,A Schutz,6,1,2,3,0.16666666666666666,0.3333333333333333,0.5
75,2015-06-14,A T Millard,15,3,4,5,0.2,0.26666666666666666,0.3333333333333333
76,2015-06-14,C Fownes,24,3,3,7,0.125,0.125,0.2916666666666667
77,2015-06-14,C H Yip,17,1,2,5,0.058823529411764705,0.11764705882352941,0.29411764705882354
78,2015-06-14,C S Shum,13,0,3,4,0.0,0.23076923076923078,0.3076923076923077
79,2015-06-14,C W Chang,12,0,1,1,0.0,0.08333333333333333,0.08333333333333333
80,2015-06-14,D Cruz,14,1,1,3,0.07142857142857142,0.07142857142857142,0.21428571428571427
81,2015-06-14,D E Ferraris,17,1,3,3,0.058823529411764705,0.17647058823529413,0.17647058823529413
82,2015-06-14,D J Hall,10,1,2,3,0.1,0.2,0.3
83,2015-06-14,J Moore,11,1,3,3,0.09090909090909091,0.2727272727272727,0.2727272727272727
84,2015-06-14,J Size,13,1,2,4,0.07692307692307693,0.15384615384615385,0.3076923076923077
85,2015-06-14,K L Man,14,0,2,3,0.0,0.14285714285714285,0.21428571428571427
86,2015-06-14,K W Lui,11,2,2,4,0.18181818181818182,0.18181818181818182,0.36363636363636365
87,2015-06-14,L Ho,6,0,1,2,0.0,0.16666666666666666,0.3333333333333333
88,2015-06-14,P F Yiu,14,1,2,4,0.07142857142857142,0.14285714285714285,0.2857142857142857
89,2015-06-14,P O'Sullivan,9,0,1,1,0.0,0.1111111111111111,0.1111111111111111
90,2015-06-14,R Gibson,15,1,3,3,0.06666666666666667,0.2,0.2
91,2015-06-14,S Woods,10,0,0,1,0.0,0.0,0.1
92,2015-06-14,T K Ng,10,1,1,1,0.1,0.1,0.1
93,2015-06-14,T P Yung,15,1,1,1,0.06666666666666667,0.06666666666666667,0.06666666666666667
94,2015-06-14,W Y So,19,1,2,3,0.05263157894736842,0.10526315789473684,0.15789473684210525
95,2015-06-14,Y S Tsui,14,3,6,7,0.21428571428571427,0.42857142857142855,0.5
96,2015-06-17,A Lee,18,3,3,5,0.16666666666666666,0.16666666666666666,0.2777777777777778
97,2015-06-17,A S Cruz,30,2,6,7,0.06666666666666667,0.2,0.23333333333333334
98,2015-06-17,A Schutz,11,1,3,4,0.09090909090909091,0.2727272727272727,0.36363636363636365
99,2015-06-17,A T Millard,22,3,4,5,0.13636363636363635,0.18181818181818182,0.22727272727272727
100,2015-06-17,C Fownes,32,3,3,8,0.09375,0.09375,0.25
101,2015-06-17,C H Yip,26,2,3,6,0.07692307692307693,0.11538461538461539,0.23076923076923078
102,2015-06-17,C S Shum,20,0,4,6,0.0,0.2,0.3
103,2015-06-17,C W Chang,16,0,1,2,0.0,0.0625,0.125
104,2015-06-17,D Cruz,19,1,1,4,0.05263157894736842,0.05263157894736842,0.21052631578947367
105,2015-06-17,D E Ferraris,22,2,4,4,0.09090909090909091,0.18181818181818182,0.18181818181818182
106,2015-06-17,D J Hall,14,1,2,3,0.07142857142857142,0.14285714285714285,0.21428571428571427
107,2015-06-17,J Moore,26,4,7,8,0.15384615384615385,0.2692307692307692,0.3076923076923077
108,2015-06-17,J Size,21,4,6,9,0.19047619047619047,0.2857142857142857,0.42857142857142855
109,2015-06-17,K L Man,19,1,4,5,0.05263157894736842,0.21052631578947367,0.2631578947368421
110,2015-06-17,K W Lui,14,2,2,4,0.14285714285714285,0.14285714285714285,0.2857142857142857
111,2015-06-17,L Ho,11,0,1,3,0.0,0.09090909090909091,0.2727272727272727
112,2015-06-17,P F Yiu,19,1,2,4,0.05263157894736842,0.10526315789473684,0.21052631578947367
113,2015-06-17,P O'Sullivan,17,0,1,2,0.0,0.058823529411764705,0.11764705882352941
114,2015-06-17,R Gibson,20,1,3,4,0.05,0.15,0.2
