,plc,horse,jockey,trainer,draw,gear,lbw,runningpos,time,comment,date,distance,going,raceno,venue,course,result,horse_ch,jockey_ch,trainer_ch,result_ch,comment_ch,going_ch,venue_ch,course_ch
1970,5,DRAGON GENERAL(T400),Y T Cheng,Y S Tsui,05,,3L,4 4 5,0.58.99,Under a hold throughout; ran on strong.,2015-10-20,800,GOOD,3,SHA TIN,TURF,,皇龍大將 (T400),鄭雨滇,徐雨石,,沿途捉實，走勢有力,好地,沙田,草地
1971,2,DRAGON GLORY(P130),B Prebble,C W Chang,01,B,1-1/2L,1 1 2,1.12.54,Led along the rail; stayed on well for 2nd.,2016-01-15,1200,WET,1,SHA TIN,ALL WEATHER TRACK,Passed,皇龍寶駒 (P130),柏寶,鄭俊偉,及格,沿欄帶放，末段仍勁,濕地,沙田,全天候賽道
1972,7,DRAGON GLORY(P130),K Y Lo,C W Chang,10,B,6-1/4L,9 10 7,1.00.59,Made minor inroads when asked late.,2017-03-07,1000,GOOD,6,SHA TIN,TURF,,皇龍寶駒 (P130),勞景暘,鄭俊偉,,末段推騎，稍稍追近,好地,沙田,草地
1973,3,DRAGON HARMONY(T283),B Prebble,J Moore,07,B,2-1/4L,2 2 3,1.10.88,On pace centre track; raced under his own steam in the Straight.,2017-02-21,600,GOOD,6,SHA TIN,TURF,Passed,合拍飛龍 (T283),柏寶,約翰摩亞,及格,"中檔跟前, 直路未曾騎過",好地,沙田,草地
1974,5,DRAGON HARMONY(T283),D Whyte,J Moore,02,,5-1/4L,3 3 5,1.11.59,On pace early; flattened late.,2015-09-08,200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,合拍飛龍 (T283),韋達,約翰摩亞,,"早段唔慢, 末段勁平",好地,沙田,全天候賽道
1975,2,DRAGON HARMONY(T283),J Moreira,J Moore,06,P,2L,5 5 2,1.11.51,Ran 2nd under a hold; not fully tested.,2016-09-06,1200,WET,3,SHA TIN,ALL WEATHER TRACK,,合拍飛龍 (T283),莫雷拉,約翰摩亞,,"按實第二, 點到即止",濕地,沙田,全天候賽道
1976,2,DRAGON HARMONY(T283),Y T Cheng,J Moore,01,P,Neck,1 1 2,1.11.15,Led along the rail; just caught.,2016-03-15,200,GOOD,8,SHA TIN,TURF,,合拍飛龍 (T283),鄭雨滇,約翰摩亞,,"沿欄快放, 埋門被過",好地,沙田,草地
1977,3,DRAGON MASTER(V099),B Prebble,C W Chang,03,,2-1/4L,3 2 3,0.59.50,Under a hold for 3rd; ran on fairly well.,2016-01-19,1000,GOOD,3,SHA TIN,TURF,,皇仁大師 (V099),柏寶,鄭俊偉,,按住第三，走勢純熟,好地,沙田,草地
1978,1,DRAGON MASTER(V099),B Prebble,C W Chang,07,,,1 1 1,0.59.36,Led all the way to score.,2016-02-02,400,GOOD,5,SHA TIN,TURF,,皇仁大師 (V099),柏寶,鄭俊偉,,帶放到底，走勢純熟,好地,沙田,草地
1979,2,DRAGON MASTER(V099),C K Tong,C W Chang,07,,Neck,2 2 2,0.46.26,Urged to lead early; kept on well for 2nd.,2015-12-22,800,GOOD,8,SHA TIN,TURF,Passed,皇仁大師 (V099),湯智傑,鄭俊偉,及格,"拍住鬥放, 末段仍勁",好地,沙田,草地
1980,2,DRAGON MASTER(V099),H N Wong,C W Chang,10,,Nose,4 4 2,1.11.52,Dashed on well for 2nd when asked in the Straight.,2016-10-28,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,皇仁大師 (V099),黃皓楠,鄭俊偉,,"直路輕騎, 愈追愈勁",好地,沙田,全天候賽道
1981,4,DRAGON MASTER(V099),O Doleuze,C W Chang,05,,1-1/2L,9 8 4,0.58.60,Began moderately; made steady progress when shifted to centre track at 600m.,2017-05-09,1000,GOOD,1,SHA TIN,TURF,Passed,皇仁大師 (V099),杜利萊,鄭俊偉,及格,起步一般，六百移入中檔，逐步上前,好地,沙田,草地
1982,1,DRAGON MASTER(V099),Z Purton,C W Chang,04,,,2 2 1,1.01.49,Shared lead early; hit the front at 200m and won.,2016-09-06,1200,WET,6,SHA TIN,ALL WEATHER TRACK,,皇仁大師 (V099),潘頓,鄭俊偉,,"拍實鬥放, 二百透出",濕地,沙田,全天候賽道
1983,3,DRAGON MASTER(V099),Z Purton,C W Chang,04,,4-1/4L,4 4 3,0.58.77,Under a hold throughout; ran comfortably for 3rd.,2016-11-08,400,GOOD,2,SHA TIN,TURF,,皇仁大師 (V099),潘頓,鄭俊偉,,沿途捉到實，從容入位,好地,沙田,草地
1984,10,DRAGON WARRIOR(V202),,W Y So,10,,,Withdrawn,,,2016-12-23,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,龍騰馬躍 (V202),,蘇偉賢,,,好地,沙田,全天候賽道
1985,2,DRAGON WARRIOR(V202),J Moreira,W Y So,02,,6-1/4L,3 2 2,1.11.02,Asked at turn; ran on for 2nd.,2016-06-07,400,GOOD,3,SHA TIN,TURF,,龍騰馬躍 (V202),莫雷拉,蘇偉賢,,"轉彎已騎, 闖入一席",好地,沙田,草地
1986,1,DRAGON WARRIOR(V202),J Moreira,W Y So,02,,,2 2 1,1.12.12,Ran on to score when under whip late.,2016-09-19,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,龍騰馬躍 (V202),莫雷拉,蘇偉賢,,"拉士鞭騎, 後上取勝",好地,沙田,全天候賽道
1987,3,DRAGON WARRIOR(V202),J Moreira,W Y So,02,B,3-1/2L,6 5 3,1.11.59,Under restraint early; made progress for 3rd when shifted out.,2017-01-03,1600,GOOD,11,SHA TIN,TURF,,龍騰馬躍 (V202),莫雷拉,蘇偉賢,,早段拉到實，二百移出追趕,好地,沙田,草地
1988,2,DRAGON WARRIOR(V202),J Moreira,W Y So,02,B,2-1/4L,1 1 2,1.10.63,Always in touch; ran on for 2nd comfortably.,2017-02-07,300,GOOD,9,SHA TIN,TURF,,龍騰馬躍 (V202),莫雷拉,蘇偉賢,,"且戰且走, 從容第二",好地,沙田,草地
1989,2,DRAGON WARRIOR(V202),J Moreira,W Y So,04,,1-3/4L,5 5 2,1.14.03,Saved ground inside; ran 2nd when asked.,2016-09-02,1200,GOOD,5,HAPPY VALLEY,TURF,,龍騰馬躍 (V202),莫雷拉,蘇偉賢,,內檔慳位，推騎第二,好地,跑馬地,草地
1990,4,DRAGON WARRIOR(V202),J Moreira,W Y So,07,,1-1/4L,5 4 4,0.46.51,Under a hold late; not fully tested.,2016-04-05,800,GOOD,6,SHA TIN,TURF,Passed,龍騰馬躍 (V202),莫雷拉,蘇偉賢,及格,末段按住，點到即止,好地,沙田,草地
1991,8,DRAGON WARRIOR(V202),Y T Cheng,W Y So,04,P,10-3/4L,8 9 8,1.15.02,Settled at rear; never in contention.,2016-06-18,1200,GOOD,3,HAPPY VALLEY,TURF,,龍騰馬躍 (V202),鄭雨滇,蘇偉賢,,落後跟跑，無段好睇,好地,跑馬地,草地
1992,7,DREAMLAND(V304),N Rawiller,C S Shum,05,,19-1/2L,6 7 7,0.49.66,Ran on ordinary; unimpressive.,2016-05-24,800,GOOD,1,SHA TIN,TURF,Failed,夢成真 (V304),羅理雅,沈集成,不及格,走勢乏力，未及水準,好地,沙田,草地
1993,7,DUAL HAPPY(N427),G Mosse,K L Man,04,B,4-1/4L,7 6 7,1.12.12,Settled midfield; limited response when asked.,2015-09-11,200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,常開心 (N427),巫斯義,文家良,,居中跟跑，騎落唔多,好地,沙田,全天候賽道
1994,2,DUAL HAPPY(N427),H W Lai,K L Man,06,B,Neck,5 4 2,1.11.50,Fought on gamely for 2nd when asked at 300m.,2016-02-05,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,Passed,常開心 (N427),黎海榮,文家良,及格,三百輕騎，奮力上前,好地,沙田,全天候賽道
1995,5,DUKEDOM(V372),D Whyte,C H Yip,10,,2-3/4L,5 4 5,0.59.35,On pace early; ran on nicely.,2016-09-20,200,GOOD,2,SHA TIN,TURF,Passed,軍必勝 (V372),韋達,葉楚航,及格,前列跟跑，走勢純熟,好地,沙田,草地
1996,11,DUNDONNELL(S110),,C Fownes,11,,,Withdrawn,,no show,2016-03-22,1200,WET,1,SHA TIN,ALL WEATHER TRACK,,誰可拼 (S110),,方嘉柏,,冇到,濕地,沙田,全天候賽道
1997,11,DUNDONNELL(S110),C Y Ho,C Fownes,06,H,7-1/4L,13 13 11,0.58.29,Slightly slow to begin; being hard ridden late.,2017-04-25,1000,GOOD,1,SHA TIN,TURF,,誰可拼 (S110),何澤堯,方嘉柏,,起步稍慢，末段力騎,好地,沙田,草地
1998,1,DUNDONNELL(S110),C Y Ho,C Fownes,07,H,,8 5 1,1.10.09,Fought on gamely to score when shifted out in the Straight.,2016-05-17,1200,WET,1,SHA TIN,ALL WEATHER TRACK,,誰可拼 (S110),何澤堯,方嘉柏,,"直路移出, 奮力上前",濕地,沙田,全天候賽道
1999,3,DUNDONNELL(S110),C Y Ho,C Fownes,10,H,1-3/4L,9 6 3,1.10.48,Restrained early; ran on for 3rd racing wide.,2016-10-04,400,GOOD,10,SHA TIN,TURF,Passed,誰可拼 (S110),何澤堯,方嘉柏,及格,"早段墜手, 蝕位仍近",好地,沙田,草地
2000,3,DUNDONNELL(S110),D Whyte,R Gibson,09,H/SR,2L,10 10 3,0.57.79,Tardy start; made ground mid track for 3rd after recovered.,2015-10-13,1000,GOOD,1,SHA TIN,TURF,,誰可拼 (S110),韋達,高伯新,,起步麻麻，修正後逐步從中檔上前,好地,沙田,草地
2001,1,DUNDONNELL(S110),J Moreira,C Fownes,01,H,,2 2 1,1.09.24,Always in touch; won comfortably.,2017-01-06,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,誰可拼 (S110),莫雷拉,方嘉柏,,有前有後，拉士輕易趕過,好地,沙田,全天候賽道
2002,2,DUNDONNELL(S110),N Callan,C Fownes,05,H,1/2L,7 3 2,0.58.54,Slow to begin; made progress steadily for 2nd.,2016-02-16,1000,GOOD,1,SHA TIN,TURF,,誰可拼 (S110),郭能,方嘉柏,,起步稍慢，逐步加快第二,好地,沙田,草地
2003,1,DUNDONNELL(S110),Z Purton,C Fownes,01,H,,4 3 1,1.10.93,Under restraint along the rail; quickened  late to score.,2016-08-23,200,GOOD,4,SHA TIN,TURF,,誰可拼 (S110),潘頓,方嘉柏,,"沿欄撐實, 拉士加速撲上",好地,沙田,草地
2004,1,DUNDONNELL(S110),Z Purton,R Gibson,06,H/SR,,9 3 1,0.58.72,Made ground progressively; hit the front mid track to score.,2015-09-22,200,GOOD,2,SHA TIN,TURF,,誰可拼 (S110),潘頓,高伯新,,分段加快，中檔突圍,好地,沙田,草地
2005,12,DUTCH WINDMILL(T288),,C W Chang,12,,,Withdrawn,,,2016-05-13,1200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,荷蘭風車 (T288),,鄭俊偉,,,好地,沙田,全天候賽道
2006,5,DUTCH WINDMILL(T288),O Doleuze,C W Chang,02,,3L,7 7 5,1.12.35,Made progress under a hold; impressive.,2016-12-02,1200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,荷蘭風車 (T288),杜利萊,鄭俊偉,,"按住追趕, 表現甚佳",好地,沙田,全天候賽道
2007,7,DUTCH WINDMILL(T288),O Doleuze,C W Chang,08,,6-1/2L,8 8 7,1.11.73,Taken back after start; raced under his own steam.,2017-01-20,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,荷蘭風車 (T288),杜利萊,鄭俊偉,,"起步拖後, 紋風未動",好地,沙田,全天候賽道
2008,11,DUTCH WINDMILL(T288),T H So,C W Chang,05,,4L,4 4 11,1.12.61,On-pace early; weakened badly in straight.,2015-09-04,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,荷蘭風車 (T288),蘇狄雄,鄭俊偉,,"早段唔慢, 直路散晒",好地,沙田,全天候賽道
2009,1,DUTCH WINDMILL(T288),T H So,C W Chang,07,,,1 1 1,1.02.71,Led all the way; kept on ok to win.,2015-06-30,1050,GOOD,3,SHA TIN,ALL WEATHER TRACK,Passed,荷蘭風車 (T288),蘇狄雄,鄭俊偉,及格,"中檔搶放, 一氣呵成",好地,沙田,全天候賽道
2010,6,DYNAMIC LIONS(A122),B Prebble,W Y So,01,,3L,5 5 6,1.11.95,Over-raced early; asked in the Straight.,2017-01-17,800,GOOD,8,SHA TIN,TURF,,雄獅動力 (A122),柏寶,蘇偉賢,,"早段搶口, 直路有騎",好地,沙田,草地
2011,5,DYNAMIC LIONS(A122),B Prebble,W Y So,07,,3-1/2L,5 6 5,0.47.20,Going all over the place; raced greenly.,2016-12-20,1000,GOOD,4,SHA TIN,TURF,Passed,雄獅動力 (A122),柏寶,蘇偉賢,及格,"沿途片出片入, 走勢稚嫩",好地,沙田,草地
2012,4,DYNAMIC LIONS(A122),B Prebble,W Y So,07,,2-1/2L,4 2 4,0.59.13,Racing sideways throughout; raced greenly.,2017-01-03,1000,GOOD,5,SHA TIN,TURF,,雄獅動力 (A122),柏寶,蘇偉賢,,"沿途側側身, 仍覺稚嫩",好地,沙田,草地
2013,10,DYNAMIC VOYAGE(P066),,L Ho,10,,,Withdrawn,,,2016-08-23,400,GOOD,5,SHA TIN,TURF,,大行情 (P066),,何良,,,好地,沙田,草地
2014,12,DYNAMIC VOYAGE(P066),K C Leung,L Ho,04,H,7L,1 3 12,1.13.21,Up with the pace early; weakened badly in the straight.,2015-09-29,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,大行情 (P066),梁家俊,何良,,跟前，直路急劇墮退,好地,沙田,全天候賽道
2015,4,DYNAMIC VOYAGE(P066),K C Leung,L Ho,09,,2-1/2L,3 5 4,1.11.23,Up with the pace early; ran on ok.,2015-10-16,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,大行情 (P066),梁家俊,何良,,前列跟跑，不過不失,好地,沙田,全天候賽道
2016,9,DYNAMIC VOYAGE(P066),K K Chiong,L Ho,10,V,14-3/4L,8 10 9,1.03.25,Wide throughout; not fully tested.,2016-08-26,1050,GOOD,4,SHA TIN,ALL WEATHER TRACK,,大行情 (P066),蔣嘉琦,何良,,"全程外疊, 未見真章",好地,沙田,全天候賽道
2017,4,DYNAMISM(T188),D Whyte,D E Ferraris,01,H/SR,2-1/2L,7 7 4,0.59.10,Made up good ground when asked late.,2015-09-22,200,GOOD,2,SHA TIN,TURF,,勁趣 (T188),韋達,霍利時,,拉士稍騎，加速上前,好地,沙田,草地
2018,4,DYNAMISM(T188),H W Lai,D E Ferraris,03,H/SR,2L,10 7 4,0.58.02,Shifted to centre of track at 400m; made ground steadily.,2016-06-07,1000,GOOD,1,SHA TIN,TURF,,勁趣 (T188),黎海榮,霍利時,,四百移入中檔，逐步追趕,好地,沙田,草地
2019,1,DYNAMISM(T188),K Teetan,D E Ferraris,05,,,6 6 1,1.13.37,Four wide at turn; ran on well to score when clear.,2016-09-02,1200,GOOD,2,HAPPY VALLEY,TURF,,勁趣 (T188),田泰安,霍利時,,四疊轉彎，望空撲上,好地,跑馬地,草地
2020,4,DYNAMISM(T188),K Teetan,D E Ferraris,07,H/SR,4-1/2L,5 5 4,1.11.78,Five wide at turn; ran on fairly well.,2016-02-12,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,Passed,勁趣 (T188),田泰安,霍利時,及格,五疊轉彎，走勢不弱,好地,沙田,全天候賽道
2021,4,DYNAMISM(T188),N Callan,D E Ferraris,04,H/SR,1-1/4L,4 4 4,1.10.37,Shifted out in the straight; ran on well.,2016-02-23,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,勁趣 (T188),郭能,霍利時,,直路移出，大步湧上,好地,沙田,全天候賽道
2022,1,E-SUPER(T010),K C Leung,K L Man,04,,,1 1 1,1.01.77,Jumped well; led all the way to score.,2015-10-20,800,GOOD,9,SHA TIN,TURF,,電子群英 (T010),梁家俊,文家良,,"應聲彈出, 愈走愈順",好地,沙田,草地
2023,5,E-SUPER(T010),K C Leung,K L Man,06,,2L,1 2 5,0.57.45,Led early; not fully tested.,2015-08-29,1000,GOOD,1,SHA TIN,TURF,,電子群英 (T010),梁家俊,文家良,,沿途帶放，見好即收,好地,沙田,草地
2024,2,E-SUPER(T010),N Callan,K L Man,01,,Neck,2 2 2,1.13.72,Under a hold throughout; ran on strongly for 2nd.,2016-09-02,1200,GOOD,3,HAPPY VALLEY,TURF,,電子群英 (T010),郭能,文家良,,沿途捉實，走勢洶湧有力,好地,跑馬地,草地
2025,4,E-SUPER(T010),N Callan,K L Man,03,,3L,7 5 4,1.10.47,No daylight in the Straight; ran on fairly well.,2016-09-23,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,電子群英 (T010),郭能,文家良,,直路受困，表現唔曳,好地,沙田,全天候賽道
2026,10,EAGLE KING(S058),,A Lee,10,,,Withdrawn,,,2015-06-23,1050,WET,4,SHA TIN,ALL WEATHER TRACK,,鷹之王 (S058),,李易達,,,濕地,沙田,全天候賽道
2027,9,EAGLE KING(S058),H W Lai,A Lee,05,H/P,7-1/2L,8 8 9,1.01.54,Ran on ordinary when shifted out in the Straight.,2016-05-28,1200,GOOD,8,HAPPY VALLEY,TURF,,鷹之王 (S058),黎海榮,李易達,,直路移出，追勢一般,好地,跑馬地,草地
2028,5,EAGLE KING(S058),M L Yeung,A Lee,01,P/H,5-1/2L,4 4 5,1.02.45,Always at rear; never a threat.,2015-06-05,1050,GOOD,2,SHA TIN,ALL WEATHER TRACK,Passed,鷹之王 (S058),楊明綸,李易達,及格,"全程跟跑, 毫無威脅",好地,沙田,全天候賽道
2029,4,EAGLE KING(S058),M L Yeung,A Lee,01,P/H,12L,6 6 4,1.02.93,Made limited ground in straight; performed only fairly.,2015-06-26,1050,WET,4,SHA TIN,ALL WEATHER TRACK,,鷹之王 (S058),楊明綸,李易達,,"直路稍追, 似好非好",濕地,沙田,全天候賽道
2030,4,EAGLE KING(S058),M L Yeung,A Lee,01,H/P,9L,4 4 4,1.02.99,Settled at rear; limited response when asked in the straight.,2015-10-16,1050,GOOD,3,SHA TIN,ALL WEATHER TRACK,,鷹之王 (S058),楊明綸,李易達,,"居後跟跑, 直路騎落唔多",好地,沙田,全天候賽道
2031,3,EAGLE KING(S058),M L Yeung,A Lee,01,H/P,1-3/4L,4 4 3,1.11.27,Came home for 3rd along the rail when asked.,2015-12-08,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,鷹之王 (S058),楊明綸,李易達,,"末段考驗, 沿欄趕上",好地,沙田,全天候賽道
2032,5,EAGLE KING(S058),M L Yeung,A Lee,02,P/H,2-1/2L,7 7 5,0.59.74,Rearward early; made some ground under whip in straight.,2015-06-13,1000,GOOD,6,HAPPY VALLEY,TURF,,鷹之王 (S058),楊明綸,李易達,,直路鞭騎，追番多少,好地,跑馬地,草地
2033,7,EAGLE KING(S058),M L Yeung,A Lee,05,H/P,6-3/4L,6 6 7,1.03.04,Limited response when asked in the straight.,2016-02-12,200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,鷹之王 (S058),楊明綸,李易達,,直路推騎，反應平平,好地,沙田,全天候賽道
2034,2,EAGLE POWER(P038),B Prebble,C W Chang,06,B,1L,5 5 2,1.11.61,Came from behind for 2nd when asked late.,2015-09-18,200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,熱爆男 (P038),柏寶,鄭俊偉,,末段推騎，後上第二,好地,沙田,全天候賽道
2035,10,EAGLE POWER(P038),C K Tong,C W Chang,08,,7-1/2L,10 11 10,1.11.39,Settled at rear; not fully tested.,2015-11-20,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,熱爆男 (P038),湯智傑,鄭俊偉,,落後跟跑，未受考驗,好地,沙田,全天候賽道
2036,9,EAGLE WAY(A093),J Moreira,J Moore,08,H,8L,6 7 9,1.00.06,Being ridden halfway; ran on ordinary.,2016-11-22,1000,GOOD,1,SHA TIN,TURF,Passed,鷹雄 (A093),莫雷拉,約翰摩亞,及格,半程已騎，走勢平常,好地,沙田,草地
2037,6,EAGLE WAY(A093),S Clipperton,J Moore,03,H/B/XB,4-1/4L,7 6 6,0.59.50,Slow to begin; ran on fairly well.,2017-01-03,1000,GOOD,1,SHA TIN,TURF,,鷹雄 (A093),祈普敦,約翰摩亞,,"起步稍慢, 但試來卻不差",好地,沙田,草地
2038,8,EAGLE WAY(A093),S Clipperton,J Moore,04,B/H,5L,9 8 8 8,1.37.03,Under a hold when caught in traffic in the Straight.,2017-03-07,1000,GOOD,9,SHA TIN,TURF,,鷹雄 (A093),祈普敦,約翰摩亞,,"直路受困, 拖住未試",好地,沙田,草地
2039,10,EAGLE WAY(A093),S Clipperton,J Moore,05,B/H/XB,7L,3 8 10,0.59.96,Under a hold throughout; not fully tested.,2017-02-07,1000,GOOD,1,SHA TIN,TURF,,鷹雄 (A093),祈普敦,約翰摩亞,,全程按住，未受考驗,好地,沙田,草地
2040,1,EASTERN DRAGON(T077),T H So,S Woods,06,,,1 1 1,1.10.96,Led all the way; moved better than before.,2015-10-02,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,Passed,廣友威龍 (T077),蘇狄雄,胡森,及格,搶放到底，表現勝前,好地,沙田,全天候賽道
2041,1,EASTERN EXPRESS(T192),J Moreira,J Size,01,B,,1 1 1,1.11.57,Led along the rail; kept on well to score.,2017-03-14,200,GOOD,3,SHA TIN,TURF,,東方快車 (T192),莫雷拉,蔡約翰,,貼欄領放，一氣呵成,好地,沙田,草地
2042,2,EASTERN EXPRESS(T192),J Moreira,J Size,02,,1/2L,2 2 2,1.02.19,Always in touch; just caught.,2015-10-20,1200,GOOD,10,SHA TIN,TURF,,東方快車 (T192),莫雷拉,蔡約翰,,"有前有後, 僅僅落敗",好地,沙田,草地
2043,1,EASTERN EXPRESS(T192),J Moreira,J Size,02,,,4 3 1,1.10.66,Made ground steadily to score; moved better than before after a spell.,2016-06-03,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),莫雷拉,蔡約翰,,逐步加快，休後見好,好地,沙田,全天候賽道
2044,5,EASTERN EXPRESS(T192),J Moreira,J Size,04,,2-1/2L,4 4 5,1.11.31,Quickened at turn; kept on one-paced in the Straight.,2016-09-30,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),莫雷拉,蔡約翰,,"彎位湧一湧, 直路保持速度",好地,沙田,全天候賽道
2045,1,EASTERN EXPRESS(T192),J Moreira,J Size,04,,,3 7 1,1.11.36,Dashed on well centre track to score; moved better than before.,2016-10-14,200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),莫雷拉,蔡約翰,,"中檔竄上, 重現生氣",好地,沙田,全天候賽道
2046,2,EASTERN EXPRESS(T192),J Moreira,J Size,05,B,Neck,5 6 2,1.10.12,Hit the line strongly under urge late.,2017-03-28,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),莫雷拉,蔡約翰,,"末段稍騎, 追勢甚佳",好地,沙田,全天候賽道
2047,1,EASTERN EXPRESS(T192),J Moreira,J Size,06,B,,2 1 1,1.10.40,Always in touch; led all the way to score.,2017-04-21,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),莫雷拉,蔡約翰,,"前後俱備,愈放愈有",好地,沙田,全天候賽道
2048,6,EASTERN EXPRESS(T192),K Teetan,J Size,03,,4L,4 5 6,1.11.54,Up with the pace; under a hold in the straight.,2015-11-20,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),田泰安,蔡約翰,,"前列跟跑, 直路按番住",好地,沙田,全天候賽道
2049,3,EASTERN EXPRESS(T192),K Teetan,J Size,03,,3-1/2L,2 3 3,1.12.09,Hit the line strong for 3rd when clear in the straight.,2016-03-11,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),田泰安,蔡約翰,,"直路望空, 自動湧上",好地,沙田,全天候賽道
2050,2,EASTERN EXPRESS(T192),K Teetan,J Size,05,B,Neck,2 2 2,1.10.20,On pace three wide; hit the line strongly late.,2017-04-11,1000,GOOD,10,SHA TIN,TURF,,東方快車 (T192),田泰安,蔡約翰,,"三疊跟前, 拉士追勢甚勁",好地,沙田,草地
2051,1,EASTERN EXPRESS(T192),M L Yeung,J Size,04,,,2 1 1,1.10.60,On-pace early; hit the line strongly to score.,2016-06-17,1200,SLOW,1,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),楊明綸,蔡約翰,,透出取勝，愈走愈勁,慢地,沙田,全天候賽道
2052,8,EASTERN EXPRESS(T192),N Rawiller,J Size,02,,7-3/4L,4 4 8,1.11.80,Up with the pace early; flattened in the straight.,2015-11-06,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),羅理雅,蔡約翰,,"前列跟跑, 直路勁平",好地,沙田,全天候賽道
2053,3,EASTERN EXPRESS(T192),S Clipperton,J Size,03,B,1-1/4L,2 2 3,1.10.86,On pace early; ran 3rd when asked.,2017-07-07,1200,WET,1,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),祈普敦,蔡約翰,,"前列跑跟, 騎住入位",濕地,沙田,全天候賽道
2054,2,EASTERN EXPRESS(T192),S de Sousa,J Size,05,B,Head,3 3 2,1.12.14,Made steady progress for 2nd; impressive.,2016-12-02,300,GOOD,2,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),蘇兆輝,蔡約翰,,"愈追愈近, 表現吸引",好地,沙田,全天候賽道
2055,5,EASTERN EXPRESS(T192),S de Sousa,J Size,05,B,4L,6 6 5,1.10.79,Settled midfield throughout; ran on fairly well.,2017-01-13,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,東方快車 (T192),蘇兆輝,蔡約翰,,"沿途居中, 走勢不弱",好地,沙田,全天候賽道
2056,10,EASTERN PROWESS(V295),,L Ho,10,,,Withdrawn,,,2016-06-28,1050,WET,4,SHA TIN,ALL WEATHER TRACK,,盛勢東方 (V295),,何良,,,濕地,沙田,全天候賽道
2057,8,EASTERN PROWESS(V295),K C Leung,L Ho,06,,10L,6 5 8,0.59.29,Under a hold late; not fully tested.,2016-06-14,400,GOOD,3,SHA TIN,TURF,Failed,盛勢東方 (V295),梁家俊,何良,不及格,末段按返，未見真章,好地,沙田,草地
2058,5,EASTERN PROWESS(V295),K C Leung,L Ho,06,H/XB,3-1/2L,8 7 5,1.00.54,Responded ok when under whip late.,2016-10-18,1000,GOOD,4,SHA TIN,TURF,,盛勢東方 (V295),梁家俊,何良,,"拉士開鞭, 有點反應",好地,沙田,草地
2059,9,EASTERN PROWESS(V295),K C Leung,L Ho,07,H/XB,6-1/4L,3 5 9,1.01.41,Flattened halfway; dropped back to rear.,2016-09-02,1000,GOOD,8,HAPPY VALLEY,TURF,Passed,盛勢東方 (V295),梁家俊,何良,及格,半程洩氣，墮退而回,好地,跑馬地,草地
2060,9,EASTERN PROWESS(V295),K C Leung,L Ho,11,H,9-3/4L,9 10 9,1.03.94,Made minor progress in the Straight; not properly tested.,2016-09-27,1050,GOOD,5,SHA TIN,ALL WEATHER TRACK,,盛勢東方 (V295),梁家俊,何良,,"直路稍追, 未盡全力",好地,沙田,全天候賽道
2061,8,EASTERN PROWESS(V295),T H So,L Ho,09,H,4-3/4L,6 8 8,1.12.08,Asked at turn; ran on ordinary.,2017-02-03,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,Passed,盛勢東方 (V295),蘇狄雄,何良,及格,入彎已騎，走勢平常,好地,沙田,全天候賽道
2062,5,EASY AHEAD(K212),K C Leung,L Ho,09,P,4-1/2L,4 3 5,1.11.74,Ran on fairly well when being wide throughout.,2016-01-05,800,GOOD,10,SHA TIN,TURF,,輕越直前 (K212),梁家俊,何良,,"全程外疊, 大步順走",好地,沙田,草地
