,plc,horse,jockey,trainer,draw,gear,lbw,runningpos,time,comment,date,distance,going,raceno,venue,course,result,horse_ch,jockey_ch,trainer_ch,result_ch,comment_ch,going_ch,venue_ch,course_ch
20,8,ABLE DEED(V136),N Rawiller,J Moore,10,B,5-1/4L,5 8 8,0.59.26,In traffic early; weakened late.,2015-12-01,300,GOOD,3,SHA TIN,TURF,,步步德 (V136),羅理雅,約翰摩亞,,早段受困，拉士乏力,好地,沙田,草地
21,7,ABLE DEED(V136),S Clipperton,J Moore,05,CP,2-1/2L,4 3 7,1.11.35,Up with the pace; limited response when asked late.,2016-11-11,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,步步德 (V136),祈普敦,約翰摩亞,,早段唔慢，拉士騎落唔多,好地,沙田,全天候賽道
22,6,ABLE DEED(V136),Z Purton,J Moore,05,CP,7-1/2L,5 5 6,1.12.24,Settled at rear; not fully tested.,2016-06-07,400,GOOD,2,SHA TIN,TURF,,步步德 (V136),潘頓,約翰摩亞,,居後跟跑，拖住未試,好地,沙田,草地
23,1,ABLE FRIEND(P303),J Moreira,J Moore,01,CP,,4 2 1,0.58.81,Made ground steadily to score; moved better than before.,2017-01-03,1000,GOOD,1,SHA TIN,TURF,,步步友 (P303),莫雷拉,約翰摩亞,,"逐步加快, 重現生氣",好地,沙田,草地
24,2,ABLE FRIEND(P303),J Moreira,J Moore,02,CP,11-1/4L,4 4 2,0.59.27,Hit the line strongly for 2nd when let go late.,2017-02-14,1000,GOOD,1,SHA TIN,TURF,,步步友 (P303),莫雷拉,約翰摩亞,,拉士一鬆，大步湧上,好地,沙田,草地
25,5,ABLE FRIEND(P303),J Moreira,J Moore,06,H,1-1/2L,7 7 5,1.11.20,Began ordinary; made progress in the Straight between runners.,2016-11-11,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,步步友 (P303),莫雷拉,約翰摩亞,,出閘一般 ，直路從馬林湧上,好地,沙田,全天候賽道
26,2,ABLE FRIEND(P303),J Moreira,J Moore,07,CP,1-1/2L,5 5 2,1.11.56,Ran 2nd under a hold; moved better than before.,2016-12-02,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,步步友 (P303),莫雷拉,約翰摩亞,,"按住上前, 重現生氣",好地,沙田,全天候賽道
27,2,ABLE FRIEND(P303),J Moreira,J Moore,09,CP,SH,8 8 8 2,1.37.74,Taken back early; ran on well without being asked.,2015-06-02,1600,GOOD,1,SHA TIN,TURF,,步步友 (P303),莫雷拉,約翰摩亞,,"刻意拖後, 直路移出, 自動湧上",好地,沙田,草地
28,8,ABLE FRIEND(P303),K Teetan,J Moore,01,CP,5L,11 9 8,0.58.26,Raced under his own steam; ran on fairly.,2015-10-13,1000,GOOD,1,SHA TIN,TURF,,步步友 (P303),田泰安,約翰摩亞,,按實順走，但試來唔夠勁,好地,沙田,草地
29,8,ABLE TALENT(S446),,T K Ng,08,,,Withdrawn,,,2016-05-10,1050,WET,2,SHA TIN,ALL WEATHER TRACK,,喜寶天龍 (S446),,吳定強,,,濕地,沙田,全天候賽道
30,8,ABLE TALENT(S446),,T K Ng,08,B,,Withdrawn,,,2017-03-04,1200,GOOD,4,HAPPY VALLEY,TURF,,喜寶天龍 (S446),,吳定強,,,好地,跑馬地,草地
31,8,ABLE TALENT(S446),K C Leung,P O'Sullivan,04,H/CP,14-1/4L,7 8 8,1.12.08,Always at rear; failed to stride out.,2015-06-30,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,Failed,喜寶天龍 (S446),梁家俊,蘇保羅,不及格,"落後跟跑, 唔多肯走",好地,沙田,全天候賽道
32,7,ABLE TALENT(S446),M Chadwick,T K Ng,07,,8L,5 2 7,1.15.41,Asked coming down the Rock; faded in the Straight.,2016-10-15,1200,GOOD,6,HAPPY VALLEY,TURF,,喜寶天龍 (S446),蔡明紹,吳定強,,落山發力，直路收工,好地,跑馬地,草地
33,10,ABLE TALENT(S446),O Murphy,T K Ng,06,,10-3/4L,6 5 5 10,1.50.51,Flattened in the Straight; finished last.,2017-01-21,1000,GOOD,2,HAPPY VALLEY,TURF,,喜寶天龍 (S446),莫艾誠,吳定強,,直路乏力，包尾而回,好地,跑馬地,草地
34,8,ABLE TALENT(S446),T H So,T K Ng,01,B,16L,1 2 8,1.13.75,Slightly slow to begin; pressed to lead along the rail; weakened badly in the Straight.,2017-03-14,200,GOOD,4,SHA TIN,TURF,Passed,喜寶天龍 (S446),蘇狄雄,吳定強,及格,起步稍慢，迅即沿欄搶出，直路散晒,好地,沙田,草地
35,8,ABLE TALENT(S446),T H So,T K Ng,03,,18-3/4L,1 1 2 8,1.51.42,Led with good pace early; weakened and dropped back.,2016-11-19,1700,GOOD,1,HAPPY VALLEY,TURF,,喜寶天龍 (S446),蘇狄雄,吳定強,,快放兩段，乏力墮退,好地,跑馬地,草地
36,5,ABLE TALENT(S446),T H So,T K Ng,05,,12L,2 4 5,1.03.88,Wide throughout; ran on ordinary.,2016-06-07,1200,GOOD,4,SHA TIN,TURF,,喜寶天龍 (S446),蘇狄雄,吳定強,,"全程外疊, 走勢乏力",好地,沙田,草地
37,9,ABLE TALENT(S446),T H So,T K Ng,05,,16-3/4L,8 9 9,1.13.09,Wide throughout; ran on ordinary.,2017-02-14,1200,GOOD,3,SHA TIN,TURF,,喜寶天龍 (S446),蘇狄雄,吳定強,,沿途蝕位，走勢平常,好地,沙田,草地
38,6,ABLE TALENT(S446),T H So,T K Ng,06,H,15-3/4L,4 5 6,1.05.79,Wide throughout; ran on ordinary.,2016-05-20,300,WET,3,SHA TIN,ALL WEATHER TRACK,Failed,喜寶天龍 (S446),蘇狄雄,吳定強,不及格,"外疊競走, 未見佳處",濕地,沙田,全天候賽道
39,7,ABLE TALENT(S446),T H So,T K Ng,06,H,4-3/4L,4 3 7,1.01.13,Found nothing when under whip at turn.,2016-05-28,1200,GOOD,8,HAPPY VALLEY,TURF,Passed,喜寶天龍 (S446),蘇狄雄,吳定強,及格,彎位開鞭，反應平常,好地,跑馬地,草地
40,8,ABLE TALENT(S446),T H So,T K Ng,06,,11-3/4L,2 1 1 8,1.51.05,Fast pace early; weakened in the Straight.,2017-02-18,300,GOOD,2,HAPPY VALLEY,TURF,,喜寶天龍 (S446),蘇狄雄,吳定強,,早段太急，直路散晒,好地,跑馬地,草地
41,11,ABLE TALENT(S446),T H So,T K Ng,11,H,27L,4 6 11,1.14.58,Flattened halfway; weakened badly.,2016-05-13,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,Failed,喜寶天龍 (S446),蘇狄雄,吳定強,不及格,"半程洩氣, 急劇墮退",好地,沙田,全天候賽道
42,1,ACCEPTED(T291),C Y Ho,C Fownes,06,H,,10 10 1,1.13.58,Last to jump; hit the front mid track to score.,2015-10-17,1200,GOOD,3,HAPPY VALLEY,TURF,,力闖 (T291),何澤堯,方嘉柏,,起步最慢，中檔突圍,好地,跑馬地,草地
43,8,ACCEPTED(T291),C Y Ho,C Fownes,06,H,10-1/4L,5 6 8,1.12.49,Limited response when asked in the Straight.,2016-11-22,800,WET,8,SHA TIN,TURF,,力闖 (T291),何澤堯,方嘉柏,,"直路推騎, 反應一般",濕地,沙田,草地
44,4,ACCEPTED(T291),C Y Ho,C Fownes,06,H,8-1/2L,7 6 4,1.10.58,Under restraint after start; made minor progress in the Straight.,2017-01-06,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,力闖 (T291),何澤堯,方嘉柏,,起步拖住，直路稍追,好地,沙田,全天候賽道
45,11,ACCEPTED(T291),C Y Ho,C Fownes,09,,,Withdrawn,,,2016-12-13,200,GOOD,7,SHA TIN,TURF,,力闖 (T291),何澤堯,方嘉柏,,,好地,沙田,草地
46,11,ACCEPTED(T291),C Y Ho,C Fownes,10,H,6-1/4L,9 10 11,1.12.21,Raced greenly at turn; dropped back to rear.,2015-09-22,800,WET,11,SHA TIN,TURF,,力闖 (T291),何澤堯,方嘉柏,,"轉彎欠順, 落後跟跑",濕地,沙田,草地
47,4,ACCESS YEARS(P087),N Rawiller,J Size,02,,1-3/4L,2 3 4,1.03.01,On-pace early; not fully tested.,2015-08-28,1200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,輕彈錢笑 (P087),羅理雅,蔡約翰,,"早段唔慢, 見好即收",好地,沙田,全天候賽道
48,2,ACCESS YEARS(P087),N Rawiller,J Size,04,,DH,1 2 1,1.03.72,In touch early; ran under his own steam.,2015-06-12,1050,GOOD,2,SHA TIN,ALL WEATHER TRACK,,輕彈錢笑 (P087),羅理雅,蔡約翰,,"沿途跟跑, 輕舒腳頭",好地,沙田,全天候賽道
49,7,ACCESSION YEARS(A219),C Y Ho,J Size,03,,6-1/4L,5 5 7,1.00.41,Weakened and dropped back when asked late.,2017-04-01,200,GOOD,7,HAPPY VALLEY,TURF,,輕彈錢暢 (A219),何澤堯,蔡約翰,,末段推騎，乏力墮退,好地,跑馬地,草地
50,8,ACCESSION YEARS(A219),C Y Ho,J Size,08,,5-3/4L,5 8 8,0.59.50,Found nothing when being niggled along early.,2017-04-11,200,GOOD,4,SHA TIN,TURF,,輕彈錢暢 (A219),何澤堯,蔡約翰,,一早已騎，毫無進展,好地,沙田,草地
51,5,ACCESSION YEARS(A219),J Moreira,J Size,03,,14-1/4L,5 6 5,1.01.10,Faded late; ran on ordinary.,2017-03-21,1000,GOOD,2,SHA TIN,TURF,,輕彈錢暢 (A219),莫雷拉,蔡約翰,,末段乏力，走勢一般,好地,沙田,草地
52,8,ACCESSION YEARS(A219),J Moreira,J Size,06,,3-1/2L,1 1 8,1.00.16,Urged to lead early; ran on greenly.,2017-03-07,400,GOOD,3,SHA TIN,TURF,Passed,輕彈錢暢 (A219),莫雷拉,蔡約翰,及格,騎住搶出，但試來仍覺稚嫩,好地,沙田,草地
53,10,ACCESSION YEARS(A219),M Chadwick,J Size,03,,6-1/2L,8 6 10,1.02.79,Racing backwards; finished last.,2017-04-25,800,GOOD,8,SHA TIN,TURF,,輕彈錢暢 (A219),蔡明紹,蔡約翰,,"愈騎愈後, 包尾而回",好地,沙田,草地
54,4,ACCESSION YEARS(A219),Z Purton,J Size,05,,1-1/2L,7 5 4,0.47.92,Slow to begin; ran on fairly well.,2017-02-21,400,GOOD,4,SHA TIN,TURF,Passed,輕彈錢暢 (A219),潘頓,蔡約翰,及格,"起步稍慢, 但試來卻不差",好地,沙田,草地
55,7,ACCLAIMED LIGHT(T369),K C Leung,P O'Sullivan,01,B,10-1/4L,7 7 7,1.13.27,Jockey wiped goggles at 300m; raced under his own steam.,2016-01-22,1200,WET,2,SHA TIN,ALL WEATHER TRACK,,明月光 (T369),梁家俊,蘇保羅,,三百騎師抹鏡，按住順走,濕地,沙田,全天候賽道
56,3,ACCLAIMED LIGHT(T369),N Callan,P O'Sullivan,02,,3-3/4L,5 4 3,1.01.27,Made steady progress; came from behind for 3rd.,2015-09-05,200,GOOD,6,HAPPY VALLEY,TURF,Passed,明月光 (T369),郭能,蘇保羅,及格,逐步追趕，後上第三,好地,跑馬地,草地
57,7,ACCLAIMED LIGHT(T369),N Callan,P O'Sullivan,07,,3-1/2L,8 7 7,1.11.77,Raced midfield; limited response when asked.,2015-09-22,800,WET,11,SHA TIN,TURF,,明月光 (T369),郭能,蘇保羅,,"居中跟跑, 騎落一般",濕地,沙田,草地
58,6,ACCLAIMED LIGHT(T369),N Callan,P O'Sullivan,07,,2-1/2L,10 11 6,1.12.76,Came home strong from behind.,2015-10-09,800,GOOD,10,SHA TIN,TURF,,明月光 (T369),郭能,蘇保羅,,"後上接近, 走勢純熟",好地,沙田,草地
59,5,ACCLAIMED LIGHT(T369),N Callan,P O'Sullivan,08,B,2-1/4L,5 6 5,1.02.31,Settled midfield; ran on fairly.,2016-09-27,200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,明月光 (T369),郭能,蘇保羅,,"俾住居中, 表現尚算不俗",好地,沙田,全天候賽道
60,8,ACCLAIMED LIGHT(T369),N Callan,P O'Sullivan,11,B,10-3/4L,7 9 8,1.02.55,Ran on ordinary when being hard ridden wide.,2016-09-06,200,WET,5,SHA TIN,ALL WEATHER TRACK,,明月光 (T369),郭能,蘇保羅,,"外檔力騎, 反應麻麻",濕地,沙田,全天候賽道
61,6,ACE KING(T331),H N Wong,L Ho,09,H,2-1/4L,2 1 6,1.12.01,Urged to lead one-off; under a hold late.,2015-12-15,200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,祥勝駿駒 (T331),黃皓楠,何良,,"二叠搶放, 拉士按返",好地,沙田,全天候賽道
62,10,ACE KING(T331),H N Wong,L Ho,10,,,Withdrawn,,,2016-04-26,300,WET,7,SHA TIN,TURF,Required to pass barrier trial,祥勝駿駒 (T331),黃皓楠,何良,需試閘合格,,濕地,沙田,草地
63,7,ACE KING(T331),H W Lai,L Ho,09,B,5L,7 7 7,1.11.90,Not quickened when under whip in the straight.,2016-03-15,200,GOOD,8,SHA TIN,TURF,Passed,祥勝駿駒 (T331),黎海榮,何良,及格,"直路鞭騎, 未見加速",好地,沙田,草地
64,8,ACE KING(T331),T H So,L Ho,01,H,9-1/2L,14 14 8,0.46.90,Without cover throughout; raced under his own steam.,2016-08-23,800,GOOD,3,SHA TIN,TURF,,祥勝駿駒 (T331),蘇狄雄,何良,,全部望空，大步順走,好地,沙田,草地
65,7,ACE KING(T331),T H So,L Ho,07,,6-3/4L,4 4 7,1.11.55,Tardy start; ran on ordinary.,2016-06-10,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,Vet Exam Required,祥勝駿駒 (T331),蘇狄雄,何良,需獸醫檢驗合格,起步麻麻，走勢平常,好地,沙田,全天候賽道
66,5,ACE KING(T331),T H So,L Ho,10,,2-1/4L,5 5 5,0.58.59,Under restraint to race along the outside rail; ran on fairly well.,2016-05-03,1000,GOOD,4,SHA TIN,TURF,Passed,祥勝駿駒 (T331),蘇狄雄,何良,及格,沿外欄按實走，表現不差,好地,沙田,草地
67,8,ACE KING(T331),T H So,L Ho,11,,7L,10 11 8,0.47.60,Slow to begin; raced greenly.,2015-09-22,1000,GOOD,7,SHA TIN,TURF,Failed,祥勝駿駒 (T331),蘇狄雄,何良,不及格,起步稍慢，走勢稚嫩,好地,沙田,草地
68,7,ACE KING(T331),T H So,L Ho,11,H,6L,7 8 7,0.59.72,Raced midfield; unimpressive.,2015-10-09,1000,GOOD,4,SHA TIN,TURF,Passed,祥勝駿駒 (T331),蘇狄雄,何良,及格,居中跟跑，未見佳處,好地,沙田,草地
69,8,ACTION PACKED(V280),C Schofield,W Y So,03,B,15-1/2L,6 6 8,1.14.89,Asked at turn; found nothing when under whip in the Straight.,2016-06-18,1200,GOOD,2,HAPPY VALLEY,TURF,Failed,贏得就贏 (V280),史卓豐,蘇偉賢,不及格,彎位推騎，直路打都唔郁,好地,跑馬地,草地
70,10,ACTION PACKED(V280),N Rawiller,W Y So,03,,24-1/4L,10 10 10,1.01.31,Found nothing when under whip early.,2016-05-03,1000,GOOD,2,SHA TIN,TURF,,贏得就贏 (V280),羅理雅,蘇偉賢,,一早開鞭，走勢乏力,好地,沙田,草地
71,8,ACTION PACKED(V280),N Rawiller,W Y So,05,,16-3/4L,6 8 8,0.48.94,Dropped back to rear; ran on ordinary.,2016-04-26,800,GOOD,4,SHA TIN,TURF,Failed,贏得就贏 (V280),羅理雅,蘇偉賢,不及格,愈跑愈後，力度未足,好地,沙田,草地
72,7,ACTION PACKED(V280),N Rawiller,W Y So,06,V,40-1/4L,6 7 7,1.17.79,Raced awkwardly at turn; weakened and dropped back.,2016-06-28,1200,WET,2,SHA TIN,ALL WEATHER TRACK,Failed,贏得就贏 (V280),羅理雅,蘇偉賢,不及格,轉彎欠順，乏力跟跑,濕地,沙田,全天候賽道
73,6,ACTUARIAT(V215),N Rawiller,P O'Sullivan,06,,7L,7 7 6,1.00.35,Under restraint shortly after jumping; not fully tested.,2016-02-13,1200,GOOD,6,HAPPY VALLEY,TURF,Passed,好準確 (V215),羅理雅,蘇保羅,及格,"起步拖住, 未見真章",好地,跑馬地,草地
74,5,ACTUARIAT(V215),N Rawiller,P O'Sullivan,06,,5-1/2L,5 5 5,0.59.55,Wide throughout; ran on ordinary.,2016-03-05,200,GOOD,6,HAPPY VALLEY,TURF,,好準確 (V215),羅理雅,蘇保羅,,全程外疊，表現一般,好地,跑馬地,草地
75,2,ACTUARIAT(V215),S Clipperton,P O'Sullivan,05,B,5-3/4L,3 3 2,1.03.21,Under a hold to run 2nd; moved better than before.,2016-09-10,1200,WET,3,SHA TIN,ALL WEATHER TRACK,,好準確 (V215),祈普敦,蘇保羅,,按住第二，表現進步,濕地,沙田,全天候賽道
76,4,ACTUARIAT(V215),S Clipperton,P O'Sullivan,05,H/B,3-1/4L,2 2 4,1.10.39,Up with the pace; being hard ridden and under whip late.,2016-11-01,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,好準確 (V215),祈普敦,蘇保羅,,"跟前, 末段又推又打",好地,沙田,全天候賽道
77,2,ACTUARIAT(V215),Z Purton,P O'Sullivan,06,B,SH,3 2 2,1.11.53,Always in touch; ran on for 2nd comfortably.,2017-06-02,200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,好準確 (V215),潘頓,蘇保羅,,有前有後，姿態從容,好地,沙田,全天候賽道
