,date,horse_code,appear_cum,win_cum,top3_cum,class,class_change,win_rate,top3_rate,win_rate_pct_change,top3_pct_change
78,2016-09-21,S378,0,0,0,4,0.0,0.0,0.0,0.0,0.0
79,2016-10-05,S205,1,1,1,5,0.0,1.0,1.0,0.0,0.0
80,2016-10-12,T385,0,0,0,5,0.0,0.0,0.0,0.0,0.0
81,2016-10-30,S417,0,0,0,5,0.0,0.0,0.0,0.0,0.0
82,2016-11-02,S409,0,0,0,5,0.0,0.0,0.0,0.0,0.0
83,2016-11-23,P105,0,0,0,5,0.0,0.0,0.0,0.0,0.0
84,2016-11-27,V123,1,1,1,4,3.0,1.0,1.0,0.0,0.0
85,2016-12-04,N405,0,0,0,5,0.0,0.0,0.0,0.0,0.0
86,2016-12-07,T288,0,0,0,5,0.0,0.0,0.0,0.0,0.0
87,2016-12-11,V356,0,0,0,3,0.0,0.0,0.0,0.0,0.0
88,2016-12-14,T416,0,0,0,4,0.0,0.0,0.0,0.0,0.0
89,2016-12-17,T233,0,0,0,5,0.0,0.0,0.0,0.0,0.0
90,2017-01-01,P272,0,0,0,5,0.0,0.0,0.0,0.0,0.0
91,2017-01-04,T418,0,0,0,5,0.0,0.0,0.0,0.0,0.0
92,2017-01-08,T220,0,0,0,5,0.0,0.0,0.0,0.0,0.0
93,2017-01-11,T336,0,0,0,5,0.0,0.0,0.0,0.0,0.0
94,2017-01-14,V088,0,0,0,5,0.0,0.0,0.0,0.0,0.0
95,2017-01-18,V009,0,0,0,5,0.0,0.0,0.0,0.0,0.0
96,2017-01-22,A124,0,0,0,4,0.0,0.0,0.0,0.0,0.0
97,2017-01-25,S432,1,1,1,5,0.0,1.0,1.0,0.0,0.0
98,2017-02-02,P287,0,0,0,4,0.0,0.0,0.0,0.0,0.0
99,2017-02-15,N317,1,1,1,4,0.0,1.0,1.0,0.0,0.0
100,2017-03-01,V189,0,0,0,5,0.0,0.0,0.0,0.0,0.0
101,2017-03-08,T436,0,0,0,5,0.0,0.0,0.0,0.0,0.0
102,2017-03-12,T203,0,0,0,5,0.0,0.0,0.0,0.0,0.0
103,2017-03-15,V315,0,0,0,4,0.0,0.0,0.0,0.0,0.0
104,2017-03-26,S346,0,0,0,5,0.0,0.0,0.0,0.0,0.0
105,2017-03-29,T335,0,0,0,5,0.0,0.0,0.0,0.0,0.0
106,2017-04-02,A088,0,0,0,4,0.0,0.0,0.0,0.0,0.0
107,2017-04-05,V161,0,0,0,5,0.0,0.0,0.0,0.0,0.0
108,2017-04-09,A211,0,0,0,4,0.0,0.0,0.0,0.0,0.0
109,2017-04-17,A210,0,0,0,1,0.0,0.0,0.0,0.0,0.0
110,2017-05-03,V273,0,0,0,4,0.0,0.0,0.0,0.0,0.0
111,2017-05-13,A299,0,0,0,1,0.0,0.0,0.0,0.0,0.0
112,2017-05-17,S399,0,0,0,4,0.0,0.0,0.0,0.0,0.0
113,2017-05-21,V068,0,0,0,4,0.0,0.0,0.0,0.0,0.0
114,2017-05-31,V378,0,0,0,4,0.0,0.0,0.0,0.0,0.0
115,2017-06-07,V042,0,0,0,5,0.0,0.0,0.0,0.0,0.0
116,2017-07-09,A207,0,0,0,1,0.0,0.0,0.0,0.0,0.0
117,2017-07-16,V108,0,0,0,5,0.0,0.0,0.0,0.0,0.0
118,2015-06-03,P422,0,0,0,4,0.0,0.0,0.0,0.0,0.0
119,2015-06-07,P316,1,1,1,5,0.0,1.0,1.0,0.0,0.0
120,2015-06-10,P241,0,0,0,5,0.0,0.0,0.0,0.0,0.0
121,2015-06-14,S320,0,0,0,5,0.0,0.0,0.0,0.0,0.0
122,2015-06-17,S340,0,0,0,4,0.0,0.0,0.0,0.0,0.0
123,2015-06-21,N238,0,0,0,4,0.0,0.0,0.0,0.0,0.0
124,2015-06-24,P070,0,0,0,5,0.0,0.0,0.0,0.0,0.0
125,2015-06-27,K123,0,0,0,4,0.0,0.0,0.0,0.0,0.0
126,2015-07-01,P168,0,0,0,5,0.0,0.0,0.0,0.0,0.0
127,2015-07-05,S038,0,0,0,5,0.0,0.0,0.0,0.0,0.0
128,2015-07-08,N186,0,0,0,5,0.0,0.0,0.0,0.0,0.0
129,2015-07-12,N330,0,0,0,5,0.0,0.0,0.0,0.0,0.0
130,2015-09-06,T306,0,0,0,4,0.0,0.0,0.0,0.0,0.0
131,2015-09-09,N186,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
132,2015-09-13,P293,0,0,0,5,0.0,0.0,0.0,0.0,0.0
133,2015-10-14,P088,0,0,0,5,0.0,0.0,0.0,0.0,0.0
134,2015-10-18,N234,0,0,0,5,0.0,0.0,0.0,0.0,0.0
135,2015-10-22,S378,1,1,1,4,0.0,1.0,1.0,0.0,0.0
136,2015-10-25,T005,0,0,0,4,0.0,0.0,0.0,0.0,0.0
137,2015-11-01,S290,1,1,1,5,0.0,1.0,1.0,0.0,0.0
138,2015-11-08,T357,0,0,0,4,0.0,0.0,0.0,0.0,0.0
139,2015-11-11,S431,0,0,0,4,0.0,0.0,0.0,0.0,0.0
140,2015-11-14,S428,0,0,0,4,0.0,0.0,0.0,0.0,0.0
141,2015-11-18,T081,0,0,0,4,0.0,0.0,0.0,0.0,0.0
142,2015-11-21,T342,0,0,0,4,0.0,0.0,0.0,0.0,0.0
143,2015-11-25,T320,0,0,0,4,0.0,0.0,0.0,0.0,0.0
144,2015-11-29,T080,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
145,2015-12-02,P001,1,1,1,5,0.0,1.0,1.0,0.0,0.0
146,2015-12-06,P269,0,0,0,5,0.0,0.0,0.0,0.0,0.0
147,2015-12-09,T054,0,0,0,4,0.0,0.0,0.0,0.0,0.0
148,2015-12-13,T315,0,0,0,3,0.0,0.0,0.0,0.0,0.0
149,2015-12-16,S335,0,0,0,5,0.0,0.0,0.0,0.0,0.0
150,2015-12-19,P223,0,0,0,4,0.0,0.0,0.0,0.0,0.0
151,2015-12-23,S187,0,0,0,4,0.0,0.0,0.0,0.0,0.0
152,2015-12-27,T064,1,1,1,5,0.0,1.0,1.0,0.0,0.0
153,2016-01-01,P167,0,0,0,5,0.0,0.0,0.0,0.0,0.0
154,2016-01-06,P330,0,0,0,4,0.0,0.0,0.0,0.0,0.0
155,2016-01-09,P237,1,1,1,5,0.0,1.0,1.0,0.0,0.0
156,2016-01-13,T029,0,0,0,4,0.0,0.0,0.0,0.0,0.0
157,2016-01-17,T295,0,0,0,5,0.0,0.0,0.0,0.0,0.0
158,2016-01-20,M326,0,0,0,4,0.0,0.0,0.0,0.0,0.0
159,2016-01-24,T410,0,0,0,4,0.0,0.0,0.0,0.0,0.0
160,2016-01-31,S346,1,1,1,5,0.0,1.0,1.0,0.0,0.0
161,2016-02-03,T101,0,0,0,4,0.0,0.0,0.0,0.0,0.0
162,2016-02-06,V142,0,0,0,4,0.0,0.0,0.0,0.0,0.0
163,2016-02-14,V151,0,0,0,4,0.0,0.0,0.0,0.0,0.0
164,2016-02-17,S423,0,0,0,5,0.0,0.0,0.0,0.0,0.0
165,2016-03-02,S113,0,0,0,4,0.0,0.0,0.0,0.0,0.0
166,2016-03-06,V151,1,1,1,4,0.0,1.0,1.0,0.0,0.0
167,2016-03-09,S329,0,0,0,4,0.0,0.0,0.0,0.0,0.0
168,2016-03-13,N376,0,0,0,1,0.0,0.0,0.0,0.0,0.0
169,2016-03-16,N317,2,2,2,4,0.0,1.0,1.0,0.0,0.0
170,2016-03-20,V140,0,0,0,4,0.0,0.0,0.0,0.0,0.0
171,2016-03-23,T105,0,0,0,5,0.0,0.0,0.0,0.0,0.0
