,date,jockey,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
67,2015-06-14,K C Leung,19,1,3,6,0.05263157894736842,0.15789473684210525,0.3157894736842105
68,2015-06-14,K C Ng,5,0,0,1,0.0,0.0,0.2
69,2015-06-14,M Chadwick,20,0,2,3,0.0,0.1,0.15
70,2015-06-14,M L Yeung,20,2,3,7,0.1,0.15,0.35
71,2015-06-14,N Rawiller,18,3,6,8,0.16666666666666666,0.3333333333333333,0.4444444444444444
72,2015-06-14,O Doleuze,11,1,2,4,0.09090909090909091,0.18181818181818182,0.36363636363636365
73,2015-06-14,T H So,18,0,1,2,0.0,0.05555555555555555,0.1111111111111111
74,2015-06-14,W M Lai,11,1,1,2,0.09090909090909091,0.09090909090909091,0.18181818181818182
75,2015-06-14,Y T Cheng,8,0,0,2,0.0,0.0,0.25
76,2015-06-14,Z Purton,13,4,5,7,0.3076923076923077,0.38461538461538464,0.5384615384615384
77,2015-06-17,A Suborics,27,3,8,10,0.1111111111111111,0.2962962962962963,0.37037037037037035
78,2015-06-17,B Prebble,32,6,11,17,0.1875,0.34375,0.53125
79,2015-06-17,C Y Ho,26,3,3,5,0.11538461538461539,0.11538461538461539,0.19230769230769232
80,2015-06-17,D Whyte,31,2,5,5,0.06451612903225806,0.16129032258064516,0.16129032258064516
81,2015-06-17,G Mosse,29,3,6,9,0.10344827586206896,0.20689655172413793,0.3103448275862069
82,2015-06-17,H N Wong,20,3,7,9,0.15,0.35,0.45
83,2015-06-17,H W Lai,22,2,2,2,0.09090909090909091,0.09090909090909091,0.09090909090909091
84,2015-06-17,J Moreira,11,3,5,8,0.2727272727272727,0.45454545454545453,0.7272727272727273
85,2015-06-17,K C Leung,28,1,3,7,0.03571428571428571,0.10714285714285714,0.25
86,2015-06-17,K C Ng,8,0,0,1,0.0,0.0,0.125
87,2015-06-17,K Teetan,15,3,6,7,0.2,0.4,0.4666666666666667
88,2015-06-17,M Chadwick,27,0,2,3,0.0,0.07407407407407407,0.1111111111111111
89,2015-06-17,M L Yeung,28,2,3,8,0.07142857142857142,0.10714285714285714,0.2857142857142857
90,2015-06-17,N Rawiller,27,3,7,9,0.1111111111111111,0.25925925925925924,0.3333333333333333
91,2015-06-17,O Doleuze,14,1,4,6,0.07142857142857142,0.2857142857142857,0.42857142857142855
92,2015-06-17,T H So,24,0,1,3,0.0,0.041666666666666664,0.125
93,2015-06-17,W M Lai,12,1,1,2,0.08333333333333333,0.08333333333333333,0.16666666666666666
94,2015-06-17,Y T Cheng,12,0,0,3,0.0,0.0,0.25
95,2015-06-17,Z Purton,22,7,9,11,0.3181818181818182,0.4090909090909091,0.5
96,2015-06-21,A Suborics,32,3,8,11,0.09375,0.25,0.34375
97,2015-06-21,B Prebble,36,7,13,19,0.19444444444444445,0.3611111111111111,0.5277777777777778
98,2015-06-21,C K Tong,11,0,0,0,0.0,0.0,0.0
99,2015-06-21,C Y Ho,30,3,4,6,0.1,0.13333333333333333,0.2
100,2015-06-21,D Whyte,35,2,5,6,0.05714285714285714,0.14285714285714285,0.17142857142857143
101,2015-06-21,G Mosse,35,4,7,10,0.11428571428571428,0.2,0.2857142857142857
102,2015-06-21,H N Wong,27,3,8,11,0.1111111111111111,0.2962962962962963,0.4074074074074074
103,2015-06-21,H W Lai,24,3,3,3,0.125,0.125,0.125
104,2015-06-21,J Moreira,17,6,10,16,0.35294117647058826,0.5882352941176471,0.9411764705882353
105,2015-06-21,K C Leung,33,2,4,8,0.06060606060606061,0.12121212121212122,0.24242424242424243
106,2015-06-21,K C Ng,11,0,0,1,0.0,0.0,0.09090909090909091
107,2015-06-21,K Teetan,21,5,10,11,0.23809523809523808,0.47619047619047616,0.5238095238095238
108,2015-06-21,M Chadwick,34,0,4,5,0.0,0.11764705882352941,0.14705882352941177
109,2015-06-21,M L Yeung,34,2,3,8,0.058823529411764705,0.08823529411764706,0.23529411764705882
110,2015-06-21,N Callan,17,1,5,7,0.058823529411764705,0.29411764705882354,0.4117647058823529
111,2015-06-21,N Rawiller,29,3,7,10,0.10344827586206896,0.2413793103448276,0.3448275862068966
112,2015-06-21,O Doleuze,18,1,4,6,0.05555555555555555,0.2222222222222222,0.3333333333333333
113,2015-06-21,T H So,31,0,1,4,0.0,0.03225806451612903,0.12903225806451613
114,2015-06-21,W M Lai,14,1,1,2,0.07142857142857142,0.07142857142857142,0.14285714285714285
115,2015-06-21,Y T Cheng,16,0,0,3,0.0,0.0,0.1875
116,2015-06-21,Z Purton,30,8,11,14,0.26666666666666666,0.36666666666666664,0.4666666666666667
117,2015-06-24,A Suborics,36,4,9,12,0.1111111111111111,0.25,0.3333333333333333
118,2015-06-24,B Prebble,45,8,15,21,0.17777777777777778,0.3333333333333333,0.4666666666666667
119,2015-06-24,C K Tong,18,0,0,0,0.0,0.0,0.0
120,2015-06-24,C Y Ho,36,4,5,7,0.1111111111111111,0.1388888888888889,0.19444444444444445
121,2015-06-24,D Whyte,41,2,6,9,0.04878048780487805,0.14634146341463414,0.21951219512195122
122,2015-06-24,G Mosse,43,5,9,13,0.11627906976744186,0.20930232558139536,0.3023255813953488
123,2015-06-24,H N Wong,36,3,9,12,0.08333333333333333,0.25,0.3333333333333333
124,2015-06-24,H W Lai,30,3,3,3,0.1,0.1,0.1
125,2015-06-24,J Moreira,27,9,14,21,0.3333333333333333,0.5185185185185185,0.7777777777777778
126,2015-06-24,K C Leung,38,2,4,10,0.05263157894736842,0.10526315789473684,0.2631578947368421
127,2015-06-24,K C Ng,14,0,0,1,0.0,0.0,0.07142857142857142
128,2015-06-24,K Teetan,30,5,10,11,0.16666666666666666,0.3333333333333333,0.36666666666666664
129,2015-06-24,M Chadwick,39,0,4,5,0.0,0.10256410256410256,0.1282051282051282
130,2015-06-24,M L Yeung,42,2,4,9,0.047619047619047616,0.09523809523809523,0.21428571428571427
131,2015-06-24,N Callan,24,2,7,10,0.08333333333333333,0.2916666666666667,0.4166666666666667
132,2015-06-24,N Rawiller,34,3,7,10,0.08823529411764706,0.20588235294117646,0.29411764705882354
133,2015-06-24,O Doleuze,24,1,4,7,0.041666666666666664,0.16666666666666666,0.2916666666666667
134,2015-06-24,T H So,35,0,1,4,0.0,0.02857142857142857,0.11428571428571428
135,2015-06-24,W M Lai,17,1,1,2,0.058823529411764705,0.058823529411764705,0.11764705882352941
136,2015-06-24,Y T Cheng,17,0,0,3,0.0,0.0,0.17647058823529413
137,2015-06-24,Z Purton,39,8,12,15,0.20512820512820512,0.3076923076923077,0.38461538461538464
138,2015-06-27,A Suborics,40,4,10,13,0.1,0.25,0.325
139,2015-06-27,B Prebble,50,8,15,22,0.16,0.3,0.44
140,2015-06-27,C K Tong,19,1,1,1,0.05263157894736842,0.05263157894736842,0.05263157894736842
141,2015-06-27,C Y Ho,42,4,5,7,0.09523809523809523,0.11904761904761904,0.16666666666666666
142,2015-06-27,D Lane,22,1,2,5,0.045454545454545456,0.09090909090909091,0.22727272727272727
143,2015-06-27,D Whyte,47,2,6,9,0.0425531914893617,0.1276595744680851,0.19148936170212766
144,2015-06-27,G Mosse,49,6,12,16,0.12244897959183673,0.24489795918367346,0.32653061224489793
145,2015-06-27,H N Wong,40,3,9,12,0.075,0.225,0.3
146,2015-06-27,H W Lai,32,4,4,4,0.125,0.125,0.125
147,2015-06-27,J Moreira,35,12,17,26,0.34285714285714286,0.4857142857142857,0.7428571428571429
148,2015-06-27,K C Leung,43,2,4,10,0.046511627906976744,0.09302325581395349,0.23255813953488372
149,2015-06-27,K C Ng,15,0,1,3,0.0,0.06666666666666667,0.2
150,2015-06-27,M Chadwick,46,0,5,6,0.0,0.10869565217391304,0.13043478260869565
151,2015-06-27,M L Yeung,49,3,5,11,0.061224489795918366,0.10204081632653061,0.22448979591836735
152,2015-06-27,N Callan,32,2,7,10,0.0625,0.21875,0.3125
153,2015-06-27,N Rawiller,37,3,9,12,0.08108108108108109,0.24324324324324326,0.32432432432432434
154,2015-06-27,O Doleuze,26,1,4,7,0.038461538461538464,0.15384615384615385,0.2692307692307692
155,2015-06-27,T H So,40,0,1,5,0.0,0.025,0.125
156,2015-06-27,W M Lai,20,1,1,2,0.05,0.05,0.1
157,2015-06-27,Y T Cheng,20,0,1,5,0.0,0.05,0.25
158,2015-06-27,Z Purton,43,9,13,16,0.20930232558139536,0.3023255813953488,0.37209302325581395
159,2015-07-01,A Suborics,44,4,10,14,0.09090909090909091,0.22727272727272727,0.3181818181818182
160,2015-07-01,B Prebble,55,10,18,27,0.18181818181818182,0.32727272727272727,0.4909090909090909
161,2015-07-01,C K Tong,22,1,1,1,0.045454545454545456,0.045454545454545456,0.045454545454545456
162,2015-07-01,C Y Ho,47,4,5,7,0.0851063829787234,0.10638297872340426,0.14893617021276595
163,2015-07-01,D Lane,25,1,2,5,0.04,0.08,0.2
164,2015-07-01,D Whyte,52,2,8,11,0.038461538461538464,0.15384615384615385,0.21153846153846154
165,2015-07-01,G Mosse,54,8,15,20,0.14814814814814814,0.2777777777777778,0.37037037037037035
166,2015-07-01,H N Wong,47,4,11,14,0.0851063829787234,0.23404255319148937,0.2978723404255319
167,2015-07-01,H W Lai,38,4,4,5,0.10526315789473684,0.10526315789473684,0.13157894736842105
168,2015-07-01,K C Leung,49,2,5,12,0.04081632653061224,0.10204081632653061,0.24489795918367346
169,2015-07-01,K C Ng,19,0,1,3,0.0,0.05263157894736842,0.15789473684210525
170,2015-07-01,M Chadwick,53,1,7,9,0.018867924528301886,0.1320754716981132,0.16981132075471697
171,2015-07-01,M L Yeung,55,4,6,13,0.07272727272727272,0.10909090909090909,0.23636363636363636
172,2015-07-01,N Callan,39,3,10,13,0.07692307692307693,0.2564102564102564,0.3333333333333333
173,2015-07-01,N Rawiller,41,4,10,14,0.0975609756097561,0.24390243902439024,0.34146341463414637
174,2015-07-01,T H So,44,0,2,6,0.0,0.045454545454545456,0.13636363636363635
175,2015-07-01,W M Lai,24,1,1,3,0.041666666666666664,0.041666666666666664,0.125
176,2015-07-01,Y T Cheng,24,1,2,6,0.041666666666666664,0.08333333333333333,0.25
177,2015-07-01,Z Purton,48,10,15,19,0.20833333333333334,0.3125,0.3958333333333333
178,2015-07-05,A Suborics,50,5,12,17,0.1,0.24,0.34
179,2015-07-05,B Prebble,64,10,18,28,0.15625,0.28125,0.4375
180,2015-07-05,C K Tong,27,1,2,2,0.037037037037037035,0.07407407407407407,0.07407407407407407
181,2015-07-05,C Y Ho,55,4,5,7,0.07272727272727272,0.09090909090909091,0.12727272727272726
182,2015-07-05,D Lane,29,2,3,6,0.06896551724137931,0.10344827586206896,0.20689655172413793
183,2015-07-05,D Whyte,61,4,12,15,0.06557377049180328,0.19672131147540983,0.2459016393442623
184,2015-07-05,G Mosse,62,12,19,24,0.1935483870967742,0.3064516129032258,0.3870967741935484
185,2015-07-05,H W Lai,46,4,4,5,0.08695652173913043,0.08695652173913043,0.10869565217391304
186,2015-07-05,K C Leung,55,2,7,15,0.03636363636363636,0.12727272727272726,0.2727272727272727
187,2015-07-05,K C Ng,24,0,1,3,0.0,0.041666666666666664,0.125
188,2015-07-05,M Chadwick,62,1,7,10,0.016129032258064516,0.11290322580645161,0.16129032258064516
